#{"t_start": 1657802581.690109, "env_id": "T-v0"}
r,l,t
--385.5,500,2.68831
-666.1-494.166667,500,3.9--85.41-234.416667,24-605.583333-463.75,500,5.130184
-405.083333,500,15.093974
-541.916667,500,15.915264
-479.0,500,16.746767
-594.5,500,17.552742
-588.166667,500,29.304992
-614.666667,500,30.124627
-77.333333,98,30.27392
-580.833333,500,31.049066
-778.416667,500,31.817204
-762.916667,500,41.822329--590.0,500,42.575818
-553.25,500,43.355215
-524.916667,500,44.118966
-320.666667,347,44.690986
-47.6666-563.583333,500,55.0110-512-277.833333,269,55.4345-4-536.333333,500,56.209944-474.666667,500,56.738903
-574.833333,500,67.550273
-446.833333,500,68.325927
-493.083333,500,69.12386
-409.0,500,69.907758
-432.833333,500,78.467824
-203.25,250,78.859643
-297.333333,439,79.551-4-378.75,500,80.173707
-420.583333,500,80.93705
-417.5,413,81.590647
-23-347.25,469,91.31593-83-392.083333,500,92.092668
-223.166667,286,92.542002
-142.916667,186,92.834698-333.916667,492,92.97772
-169.0,220,93.337645
-54.25,102,93.498934
-102.916667,105,93.669391
-170.083333,207,102.10956
-106.583333,129,102.34939-189.333333,249,102.809123
--81.833333,131,102.739453--151.916667,208,103.-28.25-157.0,169,103.121715
-176.416667,260,103.7266-63.75,67,103.595896
-71.4166-100.083333,156,10-200.25,232,104.125713
-62.583333,64,104.243886
-142.0,168,104.555598
-159.5,211,104.902453
-105.25,116,105.09339
-118.5,176,105.38521
-86.333333,110,113.584475
-98.0,157,113.8209
-31.083333,45,113.886537
-12.25,21,113.918302
-21.916667,33,113.968166
-57.666667,75,114.081587
-51.583333,72,114.190705
-31.083333,59,114.282454
-73.75,119,114.466301
-14.666667,30,114.512124
-19.083333,29,114.556663
-43.166667,50,114.632645
-21.75,35,114.692538
-42.75,72,114.803298
-20.25,29,114.847768
-25.083333,42,114.912932
-99.75,119,115.106736
-43.916667,43,115.171155
-76.5,149,115.400682
-15.5,44,115.46706
-17.916667,31,115.51242
-88.416667,94,115.657872
-68.75,126,115.858788
-83.166667,103,116.017902
-44.333333,61,116.111263
-46.083333,48,116.192945
-40.0,61,116.29745
-25.666667,34,116.34974
-16.666667,33,116.398702
-85.916667,97,116.55247
-18.083333,37,116.607991
-61.416667,51,116.685833
-63.5,60,124.404749
-23.583333,38,124.470929
-33.666667,58,124.567729
-46.083333,66,124.670819
-69.666667,84,124.805717
-30.75,52,124.88403
-32.0,47,124.95841
-17.416667,27,125.000651
-39.833333,45,125.073823
-16.25,28,125.117022-56.166667,97,125.407175
-51.5,70,125.24863
--64.5,85,125.616257
-24.416667,39,125.69873
-58.25,60,125.828253
-49.666667,59,125.951913
-11.0,19,125.987521
--36.416667,63,125.885-52.25,54,126.179191
-72.333333,76,126.420234
-22.666667,45,126.520375-1-52.333333,57,126.647659-6-15.75,26,126.700056-75.916667,83,126.618725
-3-55.0,80,126.959996
-47.916667,64,127.08977
-22.166667,29,127.150911
-24.666667,42,127.238874
-16.0,23,127.282554
-23.75,3-50.583333,58,-32.75,37,12-39.333333-55.666667,69,127.584763
-35.75,50-75.25,76,127-39.41666-34.75,48,127.569-36.2-64.166667,72,127-24.58333-76.5,72,127.82467
-70.666667,94,128.059327
-57.083333,56,128.162238
-47.666667,56,128.266466
-23.916667,33,128.3276
-39.916667,55,137.90856
-15.416667,29,137.96703
-35.916667,38,138.033701
-18.583333,31,138.086683
-24.083333,47,138.182794
-45.666667,47,138.262823
-46.333333,56,138.349694
-31.5,40,138.411116
-16.75,24,138.45067
-33.5,39,138.513204
-43.75,46,138.598406
-41.083333,50,138.686006
-48.666667,57,138.776629
-31.583333,57,138.863876
-34.083333,47,138.942052
-21.666667,30,138.993982
-39.833333,44,139.06682
-33.083333,49,139.147573
-21.5,27,139.191956
-42.916667,57,139.286984
-48.333333,52,139.372244
-28.166667,41,139.434528
-27.166667,35,139.490983
-19.333333,25,139.530705
-41.583333,43,139.594384
-25.0,31,139.640816
-46.333333,56,139.724879
-33.0,37,139.779964
-48.75,47,139.849519
-28.083333,37,139.90716
-7.25,21,139.942666
-14.0,37,140.000181
-24.0,39,140.064639
-8.25,16,140.092972
-31.083333,39,140.154311
-34.25,42,140.220933
-15.75,25,140.264227
-23.25,41,140.330066
-11.416667,21,140.363177
-33.833333,43,140.427028
-23.916667,49,140.505184
-24.166667,30,140.556015
-26.416667,35,140.609446
-33.25,50,140.689216
-24.083333,34,140.744182
-6.0,15,140.766209
-29.583333,34,140.818653
-15.166667,30,140.865739
-31.416667,47,140.938649
-12.5,29,140.98425
-54.416667,57,141.073171
-22.75,30,141.191065
-18.75,26,141.258496
-55.25,57,149.108803
-17.166667,26,149.153135
-35.666667,41,149.223143
-23.833333,29,149.272388
-25.0,31,149.324175
-13.75,24,149.364635
-10.25,26,149.409003
-15.75,28,149.452906
-16.75,25,149.494487
-38.5,51,149.570228
-45.083333,48,149.64154
-21.416667,29,149.687572
-34.666667,41,149.753541
-17.583333,43,149.819729
-24.666667,35,149.874825
-21.25,34,149.929586
-33.916667,45,150.00284
-16.333333,26,150.042617
-21.083333,32,150.092606
-35.0,43,150.159933
-33.666667,42,150.225553
-33.666667,38,150.285326
-25.75,36,150.347839
-41.583333,45,150.416496
-14.5,32,150.466359
-17.166667,29,150.511671
-26.5,35,150.567111
-33.833333,38,150.626412
-29.5,42,150.695766
-22.666667,37,150.759285
-48.0,53,150.84913
-21.25,32,150.898651
-21.083333,37,150.959525
-19.0,33,151.008128
-25.083333,36,151.066507
-26.166667,34,151.12451
-18.0,38,151.183791
-22.25,34,151.238753
-17.916667,24,151.276272
-16.083333,23,151.311567
-15.833333,26,151.350585
-39.333333,38,151.408993
-16.916667,25,151.448296
-24.583333,35,151.510085
-11.5,19,151.540133
-26.0,33,151.591918
-17.25,31,151.646255
-41.416667,46,151.739389
-25.166667,42,151.828301
-16.25,27,151.896668
-19.666667,27,151.961776
-23.25,30,152.041362
-15.5,25,152.103699
-15.916667,25,152.1799
-18.75,29,152.263946
-20.916667,29,152.342178
-23.583333,32,152.419477
-38.0,40,152.507882
-25.333333,39,152.583225
-39.5,43,152.658233
-31.583333,35,157.222382
-15.5,23,157.297972
-15.916667,25,157.367905
-15.166667,24,157.419603
-28.583333,36,157.492066
-12.583333,19,157.529095
-21.083333,35,157.596703
-37.083333,52,157.697762
-36.583333,38,157.796808
-29.166667,37,157.885064
-16.5,27,157.934086
-17.916667,29,157.986868
-14.0,24,158.038191
-18.416667,24,158.087386
-27.166667,34,158.150912
-14.583333,23,158.192077
-21.833333,28,158.241186
-25.75,31,158.299802
-25.416667,32,158.363902
-13.5,20,158.402744
-15.25,25,158.452023
-19.083333,28,158.506238
-14.916667,25,158.549218
-16.5,24,158.589221
-18.583333,28,158.633635
-39.333333,43,158.709504
-29.0,41,158.782822
-18.333333,28,158.825357
-19.0,25,158.865033
-13.75,20,158.900274
-15.166667,24,158.941162
-13.0,22,158.977183
-22.25,29,159.022567
-25.666667,31,159.070609
-19.916667,26,159.110488
-20.166667,32,159.163782
-11.75,21,159.198492
-38.583333,44,159.264805
-19.25,25,159.304149
-38.833333,42,159.369058
-17.833333,28,159.412254
-10.583333,22,159.446472
-16.25,25,159.485286
-22.083333,31,159.540218
-24.083333,35,159.593677
-16.0,26,159.633118
-22.5,29,159.682274
-24.25,30,159.734428
-25.0,30,159.786335
-12.583333,21,159.822766
-12.583333,19,159.854675
-15.666667,25,159.891645
-12.75,26,159.930326
-12.583333,26,159.969766
-40.0,43,160.033911
-32.416667,45,160.102949
-12.833333,21,160.136547
-28.583333,32,160.186949
-17.833333,27,160.234604
-14.166667,24,160.274524
-16.583333,23,160.313903
-18.75,28,160.359866
-27.583333,33,160.406878
-21.666667,34,160.456309
-13.833333,22,160.489248
-19.0,31,160.536586
-28.083333,42,160.601896
-14.583333,26,160.642181
-11.333333,22,160.676409
-29.333333,35,160.735929
-22.583333,27,167.096397
-26.333333,36,167.209732
-19.916667,27,167.257398
-11.75,21,167.294208
-10.166667,20,167.330777
-17.083333,25,167.369692
-21.25,30,167.420206
-20.5,27,167.463141
-14.916667,27,167.507064
-15.666667,26,167.554718
-18.833333,25,167.600965
-10.333333,17,167.64111
-18.666667,25,167.686553
-17.416667,25,167.733938
-15.0,21,167.770427
-32.75,42,167.838596
-22.083333,27,167.885023
-13.583333,22,167.920743
-17.583333,31,167.969376
-15.416667,25,168.013617
-19.5,26,168.058131
-13.833333,21,168.089105
-12.083333,22,168.123337
-16.0,23,168.16403
-29.5,38,168.227948
-10.916667,19,168.258036
-16.083333,28,168.303236
-9.5,17,168.332387
-9.416667,18,168.36133
-22.416667,30,168.407969
-15.583333,22,168.443003
-17.75,30,168.494615
-22.583333,34,168.55005
-16.666667,24,168.58833
-11.416667,20,168.619648
-32.416667,37,168.681853
-8.083333,15,168.706303
-24.583333,33,168.762276
-12.166667,22,168.796781
-12.583333,22,168.83341
-13.583333,21,168.866742
-19.166667,25,168.907086
-12.25,19,168.940521
-16.333333,24,168.977459
-26.083333,43,169.043985
-17.0,26,169.084587
-20.916667,27,169.129877
-12.666667,20,169.160031
-14.666667,21,169.195747
-18.083333,25,169.238293
-10.583333,19,169.266711
-21.5,32,169.31968
-16.416667,26,169.361669
-26.333333,29,169.406148
-18.416667,26,169.447066
-17.0,23,169.489963
-15.833333,22,169.528381
-13.166667,20,169.561764
-11.583333,21,169.597871
-21.083333,28,169.643106
-20.666667,29,169.689885
-21.166667,27,169.73972
-18.166667,27,169.784565
-8.083333,15,169.807547
-20.166667,29,169.851939
-18.416667,24,169.888991
-12.75,20,169.923373
-14.083333,23,169.961655
-13.166667,20,169.994113
-13.833333,24,170.034789
-17.666667,29,170.084508
-12.75,21,170.119749
-17.333333,28,170.161831
-16.25,23,170.196448
-18.25,26,170.240248
-15.833333,26,170.284451
-14.916667,22,170.322397
-13.416667,27,170.367519
-14.0,21,170.402046
-14.666667,24,170.441632
-17.333333,25,170.482986
-17.333333,25,170.520237
-19.5,25,177.631547
-19.416667,27,177.67645
-11.75,21,177.710248
-17.166667,25,177.747076
-10.333333,19,177.775562
-12.416667,21,177.805946
-7.583333,15,177.828997
-17.333333,25,177.865848
-14.5,24,177.901756
-13.666667,27,177.942272
-10.25,19,177.975276
-10.166667,17,178.004426
-13.166667,20,178.038653
-11.75,21,178.074723
-13.833333,21,178.110618
-11.083333,22,178.149365
-13.833333,22,178.186795
-22.583333,29,178.235784
-11.0,19,178.268765
-14.666667,25,178.311581
-13.083333,21,178.348319
-7.583333,16,178.376179
-16.333333,24,178.417833
-13.5,21,178.454215
-14.083333,21,178.487089
-13.5,22,178.519271
-13.0,21,178.550987
-17.0,24,178.587912
-14.083333,22,178.62439
-12.25,19,178.654345
-23.916667,30,178.701831
-16.333333,24,178.742476
-13.916667,23,178.783635
-23.5,28,178.833
-7.833333,16,178.860989
-15.0,21,178.897352
-10.416667,18,178.927564
-10.333333,17,178.957405
-13.833333,21,178.99065
-17.0,24,179.027005
-13.666667,20,179.058457
-17.833333,25,179.10701
-13.666667,22,179.149643
-9.666667,17,179.185802
-13.916667,22,179.225237
-14.083333,23,179.265733
-11.25,20,179.301507
-8.083333,15,179.327676
-11.5,19,179.361958
-7.75,15,179.387511
-15.916667,22,179.426249
-12.5,21,179.459014
-10.333333,18,179.486746
-12.25,19,179.516518
-11.916667,19,179.547179
-14.25,24,179.585011
-16.166667,23,179.621303
-18.333333,27,179.663919
-19.5,26,179.761477
-11.666667,20,179.803242
-15.083333,22,179.841244
-14.333333,24,179.879537
-11.166667,18,179.908144
-6.25,15,179.934486
-14.583333,22,179.973613
-10.166667,17,180.00403
-14.833333,24,180.047398
-11.25,20,180.080536
-20.5,32,180.128436
-10.166667,19,180.158331
-13.333333,21,180.195945
-19.333333,32,180.251591
-11.75,19,180.283646
-10.5,18,180.312514
-11.083333,18,180.339094
-18.583333,25,180.424753
-16.666667,23,180.478013
-13.416667,21,180.517948
-15.166667,22,180.557643
-10.416667,18,180.586971
-11.583333,20,180.621657
-14.5,23,180.662657
-12.75,20,180.697525
-13.916667,21,180.732119
-17.25,25,180.771729
-15.416667,22,180.807461
-12.5,21,180.83784
-12.166667,21,180.869003
-9.833333,17,180.894024
-10.0,17,180.919656
-15.166667,24,180.955409
-13.75,20,180.986569
-9.75,18,181.017831
-10.666667,20,181.102773
-14.0,23,181.148171
-17.583333,23,186.52869
-13.5,21,186.573097
-10.333333,18,186.604102
-10.416667,18,186.633212
-15.833333,22,186.668788
-7.833333,16,186.693051
-10.166667,17,186.718633
-10.333333,18,186.746589
-11.166667,21,186.779113
-12.583333,19,186.808541
-12.416667,19,186.837934
-11.166667,18,186.866072
-17.0,23,186.901824
-12.0,20,186.93704
-16.666667,23,186.973692
-13.916667,23,187.009881
-14.916667,25,187.049137
-10.166667,17,187.077966
-14.5,23,187.118773
-14.25,21,187.155382
-13.25,21,187.19045
-15.5,23,187.225929
-8.666667,17,187.254814
-9.833333,17,187.28251
-10.333333,17,187.308772
-12.333333,20,187.339988
-10.5,18,187.368436
-8.166667,16,187.393734
-13.833333,23,187.429904
-10.166667,17,187.457015
-10.916667,19,187.487403
-9.083333,16,187.514755
-13.416667,20,187.548874
-15.916667,22,187.585299
-10.0,17,187.613679
-8.5,17,187.642785
-9.833333,17,187.670861
-10.333333,17,187.697618
-7.583333,15,187.721544
-10.333333,17,187.748659
-10.416667,18,187.777222
-10.666667,19,187.807403
-10.583333,18,187.83475
-10.333333,17,187.860398
-7.416667,16,187.884496
-14.166667,21,187.916773
-11.75,19,187.946623
-12.416667,19,187.976584
-7.75,15,188.000216
-10.916667,23,188.036228
-10.916667,20,188.066607
-12.416667,19,188.096006
-11.333333,19,188.124754
-10.416667,18,188.161003
-10.166667,17,188.191316
-8.25,15,188.218133
-16.0,22,188.256258
-11.916667,20,188.288872
-13.083333,20,188.321349
-11.416667,20,188.352707
-10.0,19,188.382558
-13.333333,21,188.41536
-10.5,18,188.443712
-8.666667,18,188.472324
-9.333333,17,188.499061
-12.916667,21,188.533905
-7.75,15,188.559901
-13.583333,21,188.592686
-12.25,19,188.621614
-7.833333,16,188.645851
-12.583333,19,188.674813
-10.416667,18,188.703735
-12.666667,20,188.734868
-11.916667,19,188.76407
-14.166667,21,188.797406
-10.333333,17,188.824318
-12.25,19,188.858463
-21.333333,27,188.903507
-6.25,14,188.926405
-11.083333,18,188.95499
-15.0,21,188.991653
-11.666667,20,189.026738
-12.333333,21,189.063375
-8.25,15,189.089114
-10.25,20,189.1191
-10.916667,19,189.149211
-10.25,18,189.178844
-12.0,19,189.208774
-11.166667,19,189.2423
-15.0,23,189.281896
-13.0,23,189.317192
-9.666667,17,189.343262
-10.166667,17,189.369598
-15.25,22,189.403433
-13.5,20,189.4343
-8.25,17,189.460659
-11.166667,18,189.488744
-8.5,18,189.517799
-15.833333,22,189.55447
-12.166667,25,189.597297
-8.083333,15,189.622114
-11.25,22,189.656743
-9.083333,17,189.684999
-11.333333,20,189.719305
-10.166667,17,189.748561
-10.583333,18,189.777931
-10.166667,21,189.810027
-14.75,23,191.336984
-10.333333,17,191.424437
-8.416667,16,191.455887
-10.916667,18,191.483383
-14.083333,25,191.521956
-10.25,18,191.553107
-9.083333,16,191.578254
-7.75,15,191.599469
-9.833333,17,191.623635
-10.25,18,191.649405
-10.5,18,191.67522
-10.333333,17,191.700137
-10.5,19,191.729388
-9.25,17,191.756999
-12.0,21,191.791307
-11.833333,21,191.826698
-8.583333,18,191.852839
-8.833333,18,191.877805
-12.416667,19,191.905851
-10.25,18,191.933237
-8.333333,17,191.958133
-15.0,21,191.9892
-12.583333,19,192.017135
-8.083333,15,192.039575
-10.166667,17,192.066245
-8.25,15,192.092475
-8.25,15,192.118931
-8.25,15,192.144289
-10.083333,19,192.170592
-8.833333,16,192.200572
-8.083333,15,192.222569
-8.25,15,192.244003
-9.416667,18,192.270489
-12.833333,21,192.301159
-11.166667,19,192.329272
-12.666667,20,192.362491
-11.083333,19,192.396133
-11.666667,20,192.429806
-11.166667,18,192.454287
-10.416667,18,192.47882
-12.583333,19,192.5044
-10.166667,18,192.530518
-13.0,20,192.55883
-8.75,17,192.583226
-10.166667,17,192.608377
-8.666667,16,192.63213
-14.666667,21,192.667749
-10.333333,17,192.69638
-9.916667,18,192.724131
-15.333333,23,192.760272
-12.416667,22,192.798452
-10.416667,18,192.827635
-9.166667,16,192.85174
-11.416667,21,192.884042
-10.333333,17,192.909826
-10.333333,17,192.935836
-8.916667,16,192.962851
-8.25,15,192.988672
-11.0,20,193.018897
-7.25,15,193.042516
-9.416667,19,193.071882
-10.0,18,193.099792
-8.25,15,193.124371
-8.0,16,193.149681
-8.083333,15,193.175305
-10.166667,17,193.205762
-8.833333,17,193.235532
-10.333333,17,193.264446
-9.083333,17,193.29326
-10.333333,17,193.321361
-12.583333,19,193.349561
-10.083333,18,193.376691
-8.166667,16,193.401652
-10.416667,18,193.431912
-12.75,20,193.466983
-10.333333,17,193.495461
-12.583333,19,193.524931
-9.083333,19,193.555151
-10.916667,18,193.585927
-12.0,20,193.618591
-12.583333,19,193.647536
-14.083333,21,193.680366
-7.583333,17,193.707933
-10.0,17,193.735557
-10.0,18,193.764819
-10.5,18,193.795079
-11.25,18,193.823553
-7.75,15,193.847236
-12.25,19,193.877264
-10.25,18,193.908381
-10.166667,17,193.935535
-8.666667,16,193.959978
-13.0,20,193.99394
-8.166667,16,194.021706
-10.416667,18,194.052439
-7.583333,21,194.088825
-8.083333,15,194.114892
-8.666667,17,194.142387
-8.833333,20,194.174325
-10.166667,17,194.203202
-10.166667,17,194.231818
-9.083333,17,194.257373
-7.666667,16,194.281334
-8.25,15,194.304839
-9.5,17,194.33196
-9.333333,17,194.358382
-8.166667,16,194.383291
-8.25,16,194.408157
-12.75,21,194.440582
-10.166667,17,194.467154
-10.083333,18,194.495046
-10.333333,19,194.525493
-11.583333,20,194.560482
-10.333333,17,194.590894
-8.25,15,194.617383
-11.0,18,197.298077
-10.0,17,197.339287
-8.083333,15,197.367571
-11.166667,18,197.397087
-8.333333,16,197.421546
-8.25,15,197.444396
-10.333333,17,197.47139
-8.333333,16,197.49676
-8.25,15,197.520567
-9.916667,18,197.549149
-6.25,14,197.570539
-8.083333,15,197.59413
-10.333333,17,197.624283
-10.333333,17,197.655107
-8.25,15,197.680135
-10.166667,17,197.707993
-10.25,18,197.740074
-10.166667,17,197.791041
-10.0,17,197.828225
-7.916667,15,197.855823
-10.583333,18,197.890567
-8.25,15,197.919193
-10.0,17,197.949877
-12.166667,20,197.983701
-11.833333,20,198.013869
-8.25,15,198.037517
-12.583333,19,198.066902
-8.833333,16,198.091498
-8.25,15,198.116405
-12.083333,19,198.149588
-8.25,15,198.172221
-10.75,18,198.200126
-10.333333,17,198.226738
-14.833333,22,198.260512
-12.166667,21,198.295176
-8.083333,15,198.32094
-10.0,17,198.350122
-10.333333,17,198.378492
-8.833333,18,198.40843
-10.166667,17,198.436679
-8.25,15,198.461828
-10.333333,17,198.488604
-15.0,21,198.52219
-10.416667,18,198.551095
-8.666667,16,198.576532
-10.333333,17,198.605691
-8.083333,17,198.634247
-10.333333,17,198.662323
-10.166667,17,198.688723
-10.25,18,198.715863
-8.083333,15,198.7384
-10.166667,17,198.764633
-11.25,19,198.796919
-10.416667,18,198.825249
-10.333333,17,198.85156
-11.166667,18,198.879421
-8.416667,16,198.904096
-10.333333,19,198.933482
-11.75,19,198.963057
-9.666667,18,198.990938
-8.583333,16,199.016131
-12.583333,21,199.05085
-11.666667,20,199.084836
-8.25,15,199.110378
-10.333333,17,199.139722
-8.083333,15,199.162614
-9.166667,16,199.187809
-10.583333,19,199.218946
-7.75,15,199.245097
-10.25,18,199.27623
-8.916667,16,199.301718
-10.0,17,199.327861
-9.5,17,199.3548
-9.666667,17,199.381727
-11.25,18,199.410235
-9.75,18,199.438768
-10.166667,17,199.467445
-9.166667,16,199.496145
-10.416667,18,199.527747
-9.166667,16,199.555523
-11.166667,20,199.587453
-9.333333,17,199.612354
-13.833333,22,199.645436
-8.916667,18,199.673206
-10.25,18,199.701794
-8.25,15,199.733339
-10.0,17,199.763506
-10.333333,17,199.790857
-8.25,15,199.814011
-8.25,15,199.83753
-12.416667,19,199.866819
-12.583333,19,199.896319
-10.5,18,199.924252
-10.083333,18,199.95244
-8.0,16,199.976345
-8.916667,16,200.00003
-9.25,16,200.024231
-10.666667,19,200.053594
-10.333333,17,200.079948
-11.083333,19,200.109162
-10.5,18,200.136809
-13.166667,20,200.167529
-8.083333,15,200.190646
-10.333333,17,200.217024
-10.25,18,200.24481
-9.0,17,200.271044
-8.25,15,200.295188
-8.25,15,200.322431
-10.166667,17,200.353414
-8.25,15,200.379177
-10.166667,17,200.408535
-10.166667,18,200.43767
-8.333333,16,200.461619
-8.166667,16,200.488718
-10.583333,18,200.519216
-14.75,23,200.556069
-10.333333,17,200.581078
-8.083333,15,200.603935
-7.916667,15,200.62767
-8.416667,16,200.652257
-8.25,15,203.511172
-8.25,15,203.546592
-10.25,18,203.580625
-8.333333,16,203.607758
-10.0,17,203.638478
-10.666667,18,203.673543
-10.25,18,203.707519
-10.166667,17,203.740443
-9.583333,21,203.779257
-8.083333,15,203.806816
-8.166667,16,203.85369
-8.25,15,203.891221
-8.25,15,203.926378
-8.083333,15,203.95692
-10.166667,17,203.992324
-10.166667,17,204.026955
-8.25,15,204.059354
-8.25,15,204.088066
-10.083333,18,204.121618
-10.0,17,204.152934
-9.833333,17,204.184232
-8.416667,17,204.214664
-10.166667,17,204.242841
-10.333333,19,204.27634
-9.833333,17,204.308404
-8.666667,17,204.339864
-8.083333,15,204.368155
-8.25,15,204.396822
-10.0,17,204.430598
-8.166667,16,204.460171
-7.75,15,204.488416
-10.166667,17,204.53131
-8.083333,15,204.563179
-8.25,15,204.595111
-9.916667,18,204.723021
-9.666667,17,204.759507
-10.166667,17,204.808086
-9.166667,16,204.85072
-9.833333,17,204.884723
-10.333333,19,204.926349
-10.416667,20,204.967483
-8.25,15,204.995062
-11.75,19,205.030879
-10.333333,17,205.064131
-8.083333,15,205.094443
-12.416667,19,205.13607
-8.25,15,205.174911
-8.083333,15,205.213724
-10.666667,18,205.260009
-8.166667,16,205.295291
-8.333333,16,205.321994
-8.916667,16,205.348196
-8.333333,16,205.376058
-8.666667,18,205.405609
-10.5,19,205.436438
-10.166667,17,205.463894
-10.166667,17,205.490785
-10.583333,20,205.522254
-8.166667,16,205.547602
-9.0,17,205.574498
-8.083333,15,205.597572
-8.333333,16,205.62237
-9.083333,18,205.649974
-8.833333,17,205.675812
-8.333333,16,205.703315
-8.25,15,205.735901
-10.166667,17,205.769337
-8.333333,18,205.801372
-10.166667,17,205.829169
-8.25,15,205.854872
-13.416667,23,205.89332
-10.166667,17,205.921095
-10.166667,17,205.949354
-9.833333,17,205.975394
-7.75,15,205.999876
-8.25,15,206.023578
-8.25,15,206.049685
-8.25,15,206.078978
-8.083333,15,206.106354
-10.166667,17,206.13597
-8.25,15,206.162704
-7.0,16,206.190729
-8.75,17,206.220523
-10.166667,17,206.250141
-12.25,19,206.281033
-10.25,18,206.310324
-9.833333,17,206.340244
-8.916667,16,206.367832
-8.333333,16,206.397022
-8.5,16,206.424594
-10.25,18,206.454712
-10.166667,17,206.48291
-10.0,17,206.511534
-10.166667,17,206.540498
-8.25,15,206.566549
-8.333333,16,206.593541
-10.333333,17,206.620821
-10.166667,17,206.648182
-7.75,15,206.673593
-8.416667,16,206.698479
-6.333333,14,206.720598
-11.416667,19,206.752681
-8.25,15,206.775995
-8.416667,16,206.801283
-10.666667,19,206.831347
-10.166667,17,206.858181
-10.25,18,206.886834
-8.166667,16,206.916029
-10.166667,17,206.946998
-8.083333,15,206.97361
-10.166667,17,207.002055
-8.083333,15,207.027348
-9.916667,18,207.058241
-8.25,15,207.084157
-10.25,18,207.112926
-8.5,16,207.137594
-9.833333,17,207.16441
-8.25,15,207.188198
-8.25,15,207.212107
-8.25,15,207.235897
-10.166667,18,207.264415
-8.416667,16,207.289772
-10.166667,17,207.317068
083333,15,207.326593
-8.25,17,207.352746
-10.333333,17,207.379174
-10.166667,17,207.406085
-10.833333,18,207.434758
-12.583333,21,207.468114
-8.083333,15,207.491806
-9.166667,17,207.518834
-8.083333,15,207.542618
01--10.166667,17,207.43-10.5,-10.416667,18,2-10.166667,-8.5,16,207.487-8.33-9.5,17,207.514817
-8.416667,16,207.540-8.25-8.083333,15,207-8.25,15,-8.083333,15-10.25,18,207-11.166667,18,207.617528
2706
-8.25,15,207.147999
-10.083333,18,207.178055
-8.083333,15,207.203919
-12.416667,19,207.236278
-12.666667,20,207.268691
-8.25,15,207.291783
-9.5,20,207.323344
-8.25,15,207.347147
-8.25,15,207.371166
-8.166667,16,207.396477
-8.333333,16,207.421817
-10.166667,17,207.448744
-10.25,18,207.478395
